log_id,date,machine_id,product,shift,planned_time_min,downtime_min,operating_time_min,ideal_cycle_time,total_parts,good_parts,defective_parts,availability,performance,quality,oee
160,2023-01-08,PRESS-01,Part-D,Morning,480,60,420,2.28,158,143,15,0.875,0.8577,0.9051,0.6793
161,2023-01-08,PRESS-01,Part-D,Afternoon,480,81,399,2.72,145,135,10,0.8313,0.9885,0.931,0.765
162,2023-01-08,PRESS-01,Part-D,Night,480,42,438,1.98,171,153,18,0.9125,0.773,0.8947,0.6311
163,2023-01-08,WELD-01,Part-A,Morning,480,88,392,2.24,160,147,13,0.8167,0.9143,0.9187,0.686
164,2023-01-08,WELD-01,Part-D,Afternoon,480,58,422,1.63,210,187,23,0.8792,0.8111,0.8905,0.635
165,2023-01-08,WELD-01,Part-D,Night,480,110,370,2.27,162,154,8,0.7708,0.9939,0.9506,0.7283
166,2023-01-08,WELD-02,Part-D,Morning,480,52,428,1.58,238,225,13,0.8917,0.8786,0.9454,0.7407
167,2023-01-08,WELD-02,Part-B,Afternoon,480,80,400,2.16,141,128,13,0.8333,0.7614,0.9078,0.576
168,2023-01-08,WELD-02,Part-A,Night,480,118,362,1.93,181,168,13,0.7542,0.965,0.9282,0.6755
169,2023-01-09,CNC-01,Part-A,Morning,480,80,400,2.41,134,120,14,0.8333,0.8074,0.8955,0.6025
170,2023-01-09,CNC-01,Part-A,Afternoon,480,70,410,2.11,156,151,5,0.8542,0.8028,0.9679,0.6637
171,2023-01-09,CNC-01,Part-C,Night,480,59,421,2.92,131,117,14,0.8771,0.9086,0.8931,0.7117
172,2023-01-09,CNC-02,Part-D,Morning,480,65,415,2.56,138,128,10,0.8646,0.8513,0.9275,0.6827
173,2023-01-09,CNC-02,Part-B,Afternoon,480,31,449,2.19,161,145,16,0.9354,0.7853,0.9006,0.6616
174,2023-01-09,CNC-02,Part-C,Night,480,110,370,1.6,218,212,6,0.7708,0.9427,0.9725,0.7067
175,2023-01-09,LATHE-01,Part-C,Morning,480,119,361,2.68,110,96,14,0.7521,0.8166,0.8727,0.536
176,2023-01-09,LATHE-01,Part-B,Afternoon,480,107,373,2.38,156,145,11,0.7771,0.9954,0.9295,0.719
177,2023-01-09,LATHE-01,Part-D,Night,480,57,423,2.31,153,143,10,0.8812,0.8355,0.9346,0.6881
178,2023-01-09,LATHE-02,Part-B,Morning,480,58,422,2.9,140,138,2,0.8792,0.9621,0.9857,0.8338
179,2023-01-09,LATHE-02,Part-C,Afternoon,480,73,407,2.07,189,174,15,0.8479,0.9613,0.9206,0.7504
180,2023-01-09,LATHE-02,Part-B,Night,480,95,385,2.21,170,156,14,0.8021,0.9758,0.9176,0.7182
181,2023-01-09,PRESS-01,Part-C,Morning,480,63,417,2.95,110,108,2,0.8688,0.7782,0.9818,0.6638
182,2023-01-09,PRESS-01,Part-D,Afternoon,480,111,369,1.65,214,190,24,0.7688,0.9569,0.8879,0.6532
183,2023-01-09,PRESS-01,Part-B,Night,480,1,479,2.58,158,150,8,0.9979,0.851,0.9494,0.8062
184,2023-01-09,WELD-01,Part-D,Morning,480,9,471,2.2,212,194,18,0.9812,0.9902,0.9151,0.8891
185,2023-01-09,WELD-01,Part-D,Afternoon,480,83,397,1.62,203,193,10,0.8271,0.8284,0.9507,0.6514
186,2023-01-09,WELD-01,Part-A,Night,480,40,440,2.44,175,163,12,0.9167,0.9705,0.9314,0.8286
187,2023-01-09,WELD-02,Part-B,Morning,480,79,401,1.6,227,222,5,0.8354,0.9057,0.978,0.74
188,2023-01-09,WELD-02,Part-A,Afternoon,480,95,385,1.64,233,224,9,0.8021,0.9925,0.9614,0.7654
189,2023-01-09,WELD-02,Part-C,Night,480,56,424,1.75,199,175,24,0.8833,0.8213,0.8794,0.638
190,2023-01-10,CNC-01,Part-B,Morning,480,101,379,1.58,201,186,15,0.7896,0.8379,0.9254,0.6123
191,2023-01-10,CNC-01,Part-B,Afternoon,480,67,413,2.12,179,161,18,0.8604,0.9188,0.8994,0.711
192,2023-01-10,CNC-01,Part-D,Night,480,10,470,2.41,164,156,8,0.9792,0.8409,0.9512,0.7832
193,2023-01-10,CNC-02,Part-D,Morning,480,116,364,2.37,124,117,7,0.7583,0.8074,0.9435,0.5777
194,2023-01-10,CNC-02,Part-C,Afternoon,480,32,448,2.5,174,162,12,0.9333,0.971,0.931,0.8437
195,2023-01-10,CNC-02,Part-C,Night,480,86,394,2.32,130,127,3,0.8208,0.7655,0.9769,0.6138
196,2023-01-10,LATHE-01,Part-C,Morning,480,81,399,2.94,125,116,9,0.8313,0.9211,0.928,0.7106
197,2023-01-10,LATHE-01,Part-D,Afternoon,480,25,455,3.0,146,130,16,0.9479,0.9626,0.8904,0.8124
198,2023-01-10,LATHE-01,Part-A,Night,480,73,407,2.04,164,156,8,0.8479,0.822,0.9512,0.663
199,2023-01-10,LATHE-02,Part-A,Morning,480,106,374,2.49,122,114,8,0.7792,0.8122,0.9344,0.5914
200,2023-01-10,LATHE-02,Part-C,Afternoon,480,116,364,2.41,132,129,3,0.7583,0.874,0.9773,0.6477
201,2023-01-10,LATHE-02,Part-B,Night,480,99,381,2.7,127,116,11,0.7937,0.9,0.9134,0.6525
202,2023-01-10,PRESS-01,Part-B,Morning,480,79,401,1.88,200,192,8,0.8354,0.9377,0.96,0.752
203,2023-01-10,PRESS-01,Part-D,Afternoon,480,80,400,1.65,219,193,26,0.8333,0.9034,0.8813,0.6634
204,2023-01-10,PRESS-01,Part-C,Night,480,4,476,2.37,187,166,21,0.9917,0.9311,0.8877,0.8197
205,2023-01-10,WELD-01,Part-C,Morning,480,41,439,2.62,133,118,15,0.9146,0.7938,0.8872,0.6441
206,2023-01-10,WELD-01,Part-D,Afternoon,480,67,413,2.25,150,134,16,0.8604,0.8172,0.8933,0.6281
207,2023-01-10,WELD-01,Part-D,Night,480,103,377,1.94,188,182,6,0.7854,0.9674,0.9681,0.7356
208,2023-01-10,WELD-02,Part-D,Morning,480,9,471,1.71,273,266,7,0.9812,0.9911,0.9744,0.9476
209,2023-01-10,WELD-02,Part-A,Afternoon,480,108,372,2.71,115,111,4,0.775,0.8378,0.9652,0.6267
210,2023-01-10,WELD-02,Part-C,Night,480,33,447,2.3,167,159,8,0.9313,0.8593,0.9521,0.7619
211,2023-01-11,CNC-01,Part-B,Morning,480,74,406,2.07,178,163,15,0.8458,0.9075,0.9157,0.7029
212,2023-01-11,CNC-01,Part-B,Afternoon,480,60,420,1.54,264,248,16,0.875,0.968,0.9394,0.7957
213,2023-01-11,CNC-01,Part-C,Night,480,82,398,1.59,239,234,5,0.8292,0.9548,0.9791,0.7752
214,2023-01-11,CNC-02,Part-C,Morning,480,83,397,2.11,147,144,3,0.8271,0.7813,0.9796,0.633
215,2023-01-11,CNC-02,Part-D,Afternoon,480,63,417,1.67,201,188,13,0.8688,0.805,0.9353,0.6541
216,2023-01-11,CNC-02,Part-D,Night,480,58,422,2.06,202,193,9,0.8792,0.9861,0.9554,0.8283
217,2023-01-11,LATHE-01,Part-A,Morning,480,75,405,2.61,122,112,10,0.8438,0.7862,0.918,0.609
218,2023-01-11,LATHE-01,Part-A,Afternoon,480,106,374,2.23,142,139,3,0.7792,0.8467,0.9789,0.6458
219,2023-01-11,LATHE-01,Part-C,Night,480,88,392,2.06,163,160,3,0.8167,0.8566,0.9816,0.6867
220,2023-01-11,LATHE-02,Part-C,Morning,480,12,468,2.97,132,129,3,0.975,0.8377,0.9773,0.7982
221,2023-01-11,LATHE-02,Part-D,Afternoon,480,7,473,2.1,179,159,20,0.9854,0.7947,0.8883,0.6956
222,2023-01-11,LATHE-02,Part-A,Night,480,11,469,2.49,171,161,10,0.9771,0.9079,0.9415,0.8352
223,2023-01-11,PRESS-01,Part-B,Morning,480,6,474,2.68,143,127,16,0.9875,0.8085,0.8881,0.7091
224,2023-01-11,PRESS-01,Part-B,Afternoon,480,8,472,2.74,153,144,9,0.9833,0.8882,0.9412,0.822
225,2023-01-11,PRESS-01,Part-C,Night,480,42,438,2.66,155,146,9,0.9125,0.9413,0.9419,0.809
226,2023-01-11,WELD-01,Part-B,Morning,480,109,371,2.98,124,116,8,0.7729,0.996,0.9355,0.7202
227,2023-01-11,WELD-01,Part-B,Afternoon,480,14,466,2.49,141,124,17,0.9708,0.7534,0.8794,0.6432
228,2023-01-11,WELD-01,Part-D,Night,480,75,405,1.99,161,142,19,0.8438,0.7911,0.882,0.5888
229,2023-01-11,WELD-02,Part-C,Morning,480,67,413,1.67,189,175,14,0.8604,0.7642,0.9259,0.6088
